NOMBRE,IDENTIFICAION,CONTACTO,CORREO ELECTRONICO,DIRECCION,ID,PUNTOS,COMPRAS
Mariana Torres,1011396539,3004567890,marianatorres@gmail.com,Calle 45 #23-10,CLI-001,6,2
Carlos Lopez,1234567890,3206549871,carloslopez@yahoo.com,Avenida 80 #30-20,CLI-002,0,0
Andres Molina,1056784321,3017896543,andresmolina@gmail.com,Carrera 50 #12-33,CLI-003,5,6
Laura Castro,1098765432,3156789045,lauracastro@gmail.com,Calle 100 #45-89,CLI-004,3,1
Daniel Ortiz,1023459876,3123456789,danielortiz@gmail.com,Avenida 33 #56-20,CLI-005,9,4
Sofia Ramirez,1076543210,3167890456,sofiaramirez@gmail.com,Calle 20 #15-60,CLI-006,8,1
Felipe Rios,1045678901,3145678901,feliperios@hotmail.com,Carrera 80 #10-22,CLI-007,5,2
Valentina Ruiz,1087654321,3176543210,valentinruiz@gmail.com,Carrera 70 #55-10,CLI-008,7,3
Mateo Cardenas,1065432189,3198765432,mateocardenas@gmail.com,Calle 60 #22-14,CLI-009,0,1
Andres Agudelo,1258963574,3014786237,Andres@gmail.com,No registrada,CLI-0010,0,0
